  PID TTY          TIME CMD
55622 ?        00:00:00 kworker/5:0
55839 ?        00:00:00 kworker/6:2
56433 ?        00:00:00 kworker/7:0
56492 ?        00:00:00 sshd
56496 ?        00:00:00 systemd
56497 ?        00:00:00 (sd-pam)
56499 ?        00:00:00 sshd
56500 ?        00:00:00 sftp-server
56607 pts/14   00:00:00 gdb
56635 ?        00:00:00 kworker/2:2
56660 pts/14   00:00:00 sort
56661 pts/14   00:00:00 head
56750 ?        00:00:00 kworker/10:1
56849 ?        00:00:00 kworker/14:1
56992 ?        00:00:00 kworker/11:0
57081 ?        00:00:00 kworker/7:2
57455 ?        00:00:00 kworker/7:3
57456 ?        00:00:00 kworker/3:0
57457 ?        00:00:00 kworker/17:0
57732 ?        00:00:00 kworker/2:0
57733 ?        00:00:00 sshd
57737 ?        00:00:00 systemd
57738 ?        00:00:00 (sd-pam)
57740 ?        00:00:00 sshd
57741 pts/9    00:00:00 bash
57827 pts/9    00:00:00 grader
57879 ?        00:00:00 systemd-udevd
57895 pts/9    00:00:00 quash
57896 pts/9    00:00:00 quash
57897 pts/9    00:00:00 quash
57898 pts/9    00:00:00 loop
57899 pts/9    00:00:00 ps
57900 pts/9    00:00:00 quash
60572 ?        00:00:00 kworker/12:2
61374 ?        00:00:00 kworker/20:1
61675 ?        00:00:00 kworker/4:2
62248 ?        00:00:00 kworker/4:0
63082 ?        00:00:00 kworker/8:1
64423 ?        00:04:09 packagekitd
